Date,Description,Amount
2024-10-04,Subscription,-466.68325000518723
2024-10-05,Subscription,-426.90832456478006
2024-10-06,Deposit / Salary,1746.1307591686887
2024-10-07,Grocery,-455.10069976312764
2024-10-08,Rent,-161.34509968970562
2024-10-09,Utilities,-256.19678046960115
2024-10-10,Rent,-274.6140154431833
2024-10-11,Grocery,-351.15619331577005
2024-10-12,Utilities,-484.43605612401024
2024-10-13,Dining,-212.86928315756853
2024-10-14,Rent,-407.6970033858283
2024-10-15,Grocery,-84.1245262571351
2024-10-16,Subscription,-434.0812327517196
2024-10-17,Rent,-146.54498518584245
2024-10-18,Dining,-106.73595883831493
2024-10-19,Rent,-77.75983132111524
2024-10-20,Grocery,-426.3830858166919
2024-10-21,Rent,-154.17905002899283
2024-10-22,Utilities,-324.8575046394128
2024-10-23,Grocery,-113.27731008974186
2024-10-24,Utilities,-339.9162870218534
2024-10-25,Deposit / Salary,3564.1677035017087
2024-10-26,Deposit / Salary,3905.6780285472387
2024-10-27,Subscription,-253.57949174449243
2024-10-28,Dining,-357.09457073659325
2024-10-29,Dining,-122.7629983663004
2024-10-30,Rent,-194.92784304298198
2024-10-31,Subscription,-337.8542759666427
2024-11-01,Subscription,-156.30146788660286
2024-11-02,Deposit / Salary,1089.1891477094573
2024-11-03,Grocery,-256.61207801320893
2024-11-04,Grocery,-223.61170660500417
2024-11-05,Dining,-459.56474904220414
2024-11-06,Utilities,-208.03126047844773
2024-11-07,Grocery,-355.92205928907185
2024-11-08,Deposit / Salary,1963.8022699141393
2024-11-09,Subscription,-128.06301023011352
2024-11-10,Rent,-286.54839433669383
2024-11-11,Grocery,-249.97860413699627
2024-11-12,Deposit / Salary,1887.3209654966367
2024-11-13,Grocery,-439.3834594521844
2024-11-14,Rent,-491.79645456513146
2024-11-15,Dining,-156.7600472322027
2024-11-16,Subscription,-171.38314275358604
2024-11-17,Utilities,-78.24764946922934
2024-11-18,Utilities,-81.60899618992005
2024-11-19,Utilities,-156.63150333891627
2024-11-20,Rent,-345.6164224739728
2024-11-21,Rent,-321.23357336212626
2024-11-22,Deposit / Salary,4255.67739006609
2024-11-23,Utilities,-272.9016256097301
2024-11-24,Deposit / Salary,1817.3835238097702
2024-11-25,Grocery,-310.7313586033725
2024-11-26,Rent,-434.2068962809613
2024-11-27,Deposit / Salary,2010.2945260440133
2024-11-28,Grocery,-331.70255079512646
2024-11-29,Grocery,-175.07438445805883
2024-11-30,Rent,-91.77402661639263
2024-12-01,Deposit / Salary,3061.187706524108
2024-12-02,Rent,-73.68513295607144
2024-12-03,Rent,-262.7106938417578
2024-12-04,Dining,-388.13828192715454
2024-12-05,Rent,-331.3960710330659
2024-12-06,Deposit / Salary,4105.9059120216925
2024-12-07,Deposit / Salary,2258.58953093786
2024-12-08,Grocery,-474.7753681888853
2024-12-09,Grocery,-304.46836838259765
2024-12-10,Utilities,-101.57383505666255
2024-12-11,Rent,-377.8830872299967
2024-12-12,Dining,-363.2954459035351
2024-12-13,Subscription,-460.19033008588866
2024-12-14,Dining,-427.44487352704414
2024-12-15,Dining,-88.15083189526605
2024-12-16,Rent,-65.81541281066949
2024-12-17,Grocery,-423.9597437827678
2024-12-18,Rent,-318.2214769436615
2024-12-19,Deposit / Salary,4755.903163033239
2024-12-20,Dining,-109.33293889304872
2024-12-21,Deposit / Salary,1829.2316609217619
2024-12-22,Dining,-489.34637098420865
2024-12-23,Rent,-391.83181391314344
2024-12-24,Dining,-125.93742202578655
2024-12-25,Rent,-406.3216034126549
2024-12-26,Deposit / Salary,4664.529098018692
2024-12-27,Subscription,-253.6167975718766
2024-12-28,Deposit / Salary,4463.06601327968
2024-12-29,Utilities,-298.0479629877883
2024-12-30,Deposit / Salary,1356.5047791882184
2024-12-31,Utilities,-320.7089622050046
2025-01-01,Grocery,-394.7477695142644
