Date,Description,Amount
2024-10-04,Deposit / Salary,1016.0558241266701
2024-10-05,Subscription,-415.4785451910189
2024-10-06,Deposit / Salary,3124.2097663209056
2024-10-07,Utilities,-112.02267314117549
2024-10-08,Grocery,-82.1488200497862
2024-10-09,Deposit / Salary,1812.259849257559
2024-10-10,Deposit / Salary,1635.8701072438264
2024-10-11,Utilities,-156.3257140189393
2024-10-12,Rent,-242.69847160712516
2024-10-13,Dining,-363.91738930307395
2024-10-14,Grocery,-205.36672753205605
2024-10-15,Grocery,-283.6223437368222
2024-10-16,Dining,-163.7980204278175
2024-10-17,Deposit / Salary,2501.2638505103396
2024-10-18,Utilities,-262.6379974261815
2024-10-19,Rent,-123.51511508648844
2024-10-20,Grocery,-120.93877072062178
2024-10-21,Subscription,-243.9865968214242
2024-10-22,Deposit / Salary,2789.4562849882905
2024-10-23,Dining,-239.02341011970992
2024-10-24,Grocery,-88.67736429791377
2024-10-25,Subscription,-244.2945034507718
2024-10-26,Deposit / Salary,2296.253878862671
2024-10-27,Subscription,-291.62967161401
2024-10-28,Subscription,-442.97011086975704
2024-10-29,Subscription,-452.0901376565882
2024-10-30,Utilities,-422.7646917917791
2024-10-31,Subscription,-81.29323820383553
2024-11-01,Grocery,-114.77126501084459
2024-11-02,Deposit / Salary,3810.1379684935227
2024-11-03,Utilities,-474.46953602299004
2024-11-04,Grocery,-436.190978103749
2024-11-05,Deposit / Salary,3296.8321812312242
2024-11-06,Subscription,-203.82779155610442
2024-11-07,Rent,-105.11762482591048
2024-11-08,Subscription,-227.9746675344533
2024-11-09,Dining,-59.230160405981565
2024-11-10,Rent,-100.04005080365822
2024-11-11,Deposit / Salary,3218.2815116212228
2024-11-12,Deposit / Salary,2033.04227158621
2024-11-13,Rent,-253.9930965867064
2024-11-14,Deposit / Salary,3140.1836331655736
2024-11-15,Utilities,-151.45183965406594
2024-11-16,Subscription,-452.9210559476002
2024-11-17,Dining,-74.85704130915182
2024-11-18,Subscription,-497.0418516762358
2024-11-19,Deposit / Salary,4668.645941039402
2024-11-20,Deposit / Salary,4810.694155341687
2024-11-21,Rent,-139.62203040445556
2024-11-22,Grocery,-51.98941742473602
2024-11-23,Rent,-350.3210386238905
2024-11-24,Utilities,-157.05710523410795
2024-11-25,Utilities,-392.06746287630756
2024-11-26,Deposit / Salary,3482.824671115496
2024-11-27,Rent,-195.89197890475944
2024-11-28,Grocery,-281.03088148622754
2024-11-29,Utilities,-73.39304865526874
2024-11-30,Dining,-457.65768561502966
2024-12-01,Deposit / Salary,2626.9602901352755
2024-12-02,Subscription,-174.91817249179513
2024-12-03,Dining,-210.2832014948626
2024-12-04,Subscription,-89.33447090826436
2024-12-05,Deposit / Salary,1370.0785370836516
2024-12-06,Dining,-391.99091095928134
2024-12-07,Rent,-210.97321982859114
2024-12-08,Deposit / Salary,1500.9861604122893
2024-12-09,Deposit / Salary,1628.1811214700213
2024-12-10,Utilities,-227.08982414622344
2024-12-11,Subscription,-359.9274912835416
2024-12-12,Grocery,-150.61707257289703
2024-12-13,Rent,-107.47078378897393
2024-12-14,Rent,-390.5258777815995
2024-12-15,Rent,-469.68516530723645
2024-12-16,Rent,-451.6297338657141
2024-12-17,Utilities,-99.27301568502898
2024-12-18,Utilities,-249.67803004872854
2024-12-19,Deposit / Salary,2029.7135207696376
2024-12-20,Grocery,-476.92005766929447
2024-12-21,Deposit / Salary,4322.662635493458
2024-12-22,Utilities,-329.62952435510783
2024-12-23,Rent,-370.1236732424685
2024-12-24,Subscription,-265.68595045475956
2024-12-25,Rent,-258.42664618601475
2024-12-26,Utilities,-357.3102071167238
2024-12-27,Utilities,-376.8251461485434
2024-12-28,Grocery,-98.25612353051146
2024-12-29,Grocery,-228.0284851010028
2024-12-30,Rent,-473.4814381862531
2024-12-31,Deposit / Salary,2288.277757631252
2025-01-01,Deposit / Salary,2319.864635990647
