Date,Description,Amount
2024-10-04,Deposit / Salary,3503.4498501163825
2024-10-05,Grocery,-227.46439519077578
2024-10-06,Utilities,-273.36981027535614
2024-10-07,Deposit / Salary,4245.871325411908
2024-10-08,Subscription,-322.7456920356786
2024-10-09,Deposit / Salary,1136.6406295731704
2024-10-10,Rent,-222.04434691049497
2024-10-11,Rent,-272.8759124125994
2024-10-12,Grocery,-59.08909003251678
2024-10-13,Utilities,-265.1138921741044
2024-10-14,Rent,-138.75506360759647
2024-10-15,Subscription,-106.20641906787766
2024-10-16,Deposit / Salary,3784.4429529053223
2024-10-17,Deposit / Salary,2180.493574014148
2024-10-18,Grocery,-92.82086347907659
2024-10-19,Deposit / Salary,4717.209012237427
2024-10-20,Deposit / Salary,4037.7105679763595
2024-10-21,Grocery,-248.0179312882507
2024-10-22,Subscription,-62.01581750412877
2024-10-23,Dining,-374.41271760271997
2024-10-24,Utilities,-335.2087572214268
2024-10-25,Utilities,-229.4617636252666
2024-10-26,Utilities,-248.20981887165144
2024-10-27,Dining,-343.3410210786511
2024-10-28,Deposit / Salary,2319.9114753316635
2024-10-29,Grocery,-252.00574182312886
2024-10-30,Subscription,-488.6866222760157
2024-10-31,Deposit / Salary,1375.578323854254
2024-11-01,Utilities,-202.87555625468892
2024-11-02,Subscription,-186.85870697799805
2024-11-03,Deposit / Salary,3446.367242692037
2024-11-04,Deposit / Salary,2333.6259687012157
2024-11-05,Deposit / Salary,1343.7754643706503
2024-11-06,Grocery,-361.2232862042426
2024-11-07,Subscription,-384.5610955828104
2024-11-08,Grocery,-318.7435384541473
2024-11-09,Utilities,-468.1426010013075
2024-11-10,Deposit / Salary,4434.916702642155
2024-11-11,Deposit / Salary,2520.8486141708604
2024-11-12,Dining,-428.28616673771654
2024-11-13,Rent,-449.34069757349266
2024-11-14,Subscription,-352.52011728972496
2024-11-15,Rent,-345.61847393359693
2024-11-16,Dining,-440.79795321055417
2024-11-17,Dining,-81.58800845184163
2024-11-18,Grocery,-373.3964875582664
2024-11-19,Grocery,-488.65641088791284
2024-11-20,Deposit / Salary,4434.564190874038
2024-11-21,Subscription,-335.6235390946225
2024-11-22,Utilities,-236.5983793508335
2024-11-23,Deposit / Salary,2399.1265047442803
2024-11-24,Grocery,-410.24351863665805
2024-11-25,Rent,-422.71753234727555
2024-11-26,Grocery,-178.0692604546856
2024-11-27,Grocery,-469.60422229634764
2024-11-28,Subscription,-395.4188487324653
2024-11-29,Rent,-484.75014692172675
2024-11-30,Utilities,-295.8053576276224
2024-12-01,Rent,-236.32242562713614
2024-12-02,Deposit / Salary,2833.1979460035636
2024-12-03,Grocery,-380.86325164394657
2024-12-04,Dining,-145.23017127679105
2024-12-05,Grocery,-415.07069949133796
2024-12-06,Deposit / Salary,3920.3979963140528
2024-12-07,Rent,-175.61350605862572
2024-12-08,Utilities,-474.131635254519
2024-12-09,Utilities,-466.14027930989704
2024-12-10,Grocery,-374.28059598844465
2024-12-11,Utilities,-170.45898130891362
2024-12-12,Subscription,-154.523736921847
2024-12-13,Utilities,-203.24839752991724
2024-12-14,Deposit / Salary,3329.5578279679885
2024-12-15,Rent,-223.10573799073453
2024-12-16,Subscription,-192.38962073973778
2024-12-17,Utilities,-151.82016793231054
2024-12-18,Rent,-126.79099749268278
2024-12-19,Rent,-166.63665883044052
2024-12-20,Subscription,-219.38832384135557
2024-12-21,Dining,-314.2143154157091
2024-12-22,Grocery,-468.75883043510834
2024-12-23,Grocery,-147.64230036860238
2024-12-24,Dining,-460.1010705098822
2024-12-25,Subscription,-88.80477591017238
2024-12-26,Deposit / Salary,3670.22412993571
2024-12-27,Rent,-431.1073845997778
2024-12-28,Rent,-371.158326525845
2024-12-29,Grocery,-191.12333885169198
2024-12-30,Utilities,-61.33298688257565
2024-12-31,Subscription,-405.4750459005696
2025-01-01,Subscription,-240.4394375942887
