Date,Description,Amount
2024-10-04,Deposit / Salary,1387.2629777128345
2024-10-05,Deposit / Salary,4260.813182834634
2024-10-06,Rent,-495.55289241944513
2024-10-07,Grocery,-494.423859459819
2024-10-08,Subscription,-432.52582353698125
2024-10-09,Dining,-200.2889522543019
2024-10-10,Subscription,-142.5799468186265
2024-10-11,Grocery,-164.83932570760592
2024-10-12,Utilities,-311.5132637244149
2024-10-13,Dining,-94.71900543754691
2024-10-14,Deposit / Salary,3828.310465557695
2024-10-15,Subscription,-76.36805995464317
2024-10-16,Deposit / Salary,2245.6420234517564
2024-10-17,Grocery,-389.42616166015677
2024-10-18,Deposit / Salary,2569.9234731643055
2024-10-19,Grocery,-286.50014975309387
2024-10-20,Deposit / Salary,3455.5175667671947
2024-10-21,Subscription,-232.76246398705683
2024-10-22,Rent,-448.22306679022273
2024-10-23,Dining,-109.86195020755417
2024-10-24,Deposit / Salary,3952.4881924825086
2024-10-25,Deposit / Salary,4398.757307570493
2024-10-26,Utilities,-134.8482566943706
2024-10-27,Rent,-102.25928276128192
2024-10-28,Subscription,-376.5469342865457
2024-10-29,Dining,-273.17918118228386
2024-10-30,Dining,-70.6026993341007
2024-10-31,Rent,-405.6218082168273
2024-11-01,Grocery,-159.78859632468556
2024-11-02,Dining,-490.590498649427
2024-11-03,Deposit / Salary,1941.9089544488056
2024-11-04,Dining,-148.8895730744278
2024-11-05,Subscription,-210.59317791818825
2024-11-06,Subscription,-314.1310071758814
2024-11-07,Utilities,-230.43211127559104
2024-11-08,Subscription,-481.340293717748
2024-11-09,Deposit / Salary,2857.9827679281325
2024-11-10,Deposit / Salary,1407.206285662554
2024-11-11,Subscription,-109.90639302341944
2024-11-12,Subscription,-171.3775717831735
2024-11-13,Utilities,-465.06953169454044
2024-11-14,Deposit / Salary,4322.987061411855
2024-11-15,Dining,-390.5570415211352
2024-11-16,Grocery,-93.43453361736712
2024-11-17,Deposit / Salary,2195.2290977354705
2024-11-18,Subscription,-328.6190058342344
2024-11-19,Deposit / Salary,4223.530459099857
2024-11-20,Subscription,-150.6318407211511
2024-11-21,Subscription,-262.46586750311445
2024-11-22,Utilities,-302.54092410593626
2024-11-23,Deposit / Salary,4532.009888586886
2024-11-24,Utilities,-114.2306599653324
2024-11-25,Dining,-306.5078241459812
2024-11-26,Utilities,-154.23990554986437
2024-11-27,Rent,-407.0488091831114
2024-11-28,Deposit / Salary,1073.0718033644573
2024-11-29,Dining,-157.26022556804298
2024-11-30,Dining,-117.85293404000791
2024-12-01,Rent,-311.6804956106846
2024-12-02,Grocery,-335.81827067337383
2024-12-03,Utilities,-452.66325011471605
2024-12-04,Subscription,-402.45177117511014
2024-12-05,Subscription,-354.1850721372931
2024-12-06,Rent,-302.27612411461644
2024-12-07,Deposit / Salary,4610.295049889019
2024-12-08,Deposit / Salary,3158.9647080800933
2024-12-09,Dining,-158.65617236889
2024-12-10,Dining,-496.6229644917513
2024-12-11,Subscription,-59.55633840747979
2024-12-12,Deposit / Salary,2765.0608712572725
2024-12-13,Utilities,-258.289475360834
2024-12-14,Utilities,-420.2923172241746
2024-12-15,Dining,-465.3115872138294
2024-12-16,Dining,-481.78147014533846
2024-12-17,Rent,-239.01741532276765
2024-12-18,Utilities,-341.88211018001294
2024-12-19,Subscription,-238.31352166169052
2024-12-20,Subscription,-143.83204497052867
2024-12-21,Dining,-338.7985641571215
2024-12-22,Rent,-138.6415278286753
2024-12-23,Deposit / Salary,4338.349881803631
2024-12-24,Deposit / Salary,2752.3432834291984
2024-12-25,Grocery,-307.5008952095501
2024-12-26,Dining,-322.62913746833306
2024-12-27,Rent,-170.07236553563965
2024-12-28,Dining,-312.448334429584
2024-12-29,Subscription,-381.25376670957263
2024-12-30,Rent,-450.3669881659334
2024-12-31,Deposit / Salary,1446.9676054180804
2025-01-01,Utilities,-212.78445213776712
