Date,Description,Amount
2024-10-04,Subscription,-165.99543554037552
2024-10-05,Rent,-131.4066022263745
2024-10-06,Deposit / Salary,4819.619351209727
2024-10-07,Utilities,-398.92656276503396
2024-10-08,Rent,-136.97360677343917
2024-10-09,Subscription,-360.9462873435698
2024-10-10,Dining,-280.1682425145301
2024-10-11,Rent,-434.85655120582925
2024-10-12,Dining,-296.99735387110786
2024-10-13,Deposit / Salary,3463.437630554772
2024-10-14,Deposit / Salary,2278.085551596718
2024-10-15,Subscription,-461.3969453190022
2024-10-16,Subscription,-159.41846674529467
2024-10-17,Subscription,-151.07771058637425
2024-10-18,Rent,-216.57261880188491
2024-10-19,Rent,-387.639584897369
2024-10-20,Rent,-203.61505609242172
2024-10-21,Dining,-353.38522260599956
2024-10-22,Rent,-89.5792848914761
2024-10-23,Deposit / Salary,1199.9575417544347
2024-10-24,Utilities,-322.1084799761706
2024-10-25,Rent,-145.749668404521
2024-10-26,Rent,-369.9612996670071
2024-10-27,Deposit / Salary,1533.9872327285877
2024-10-28,Subscription,-306.33398689170264
2024-10-29,Rent,-263.8177791767944
2024-10-30,Deposit / Salary,4638.6359668817
2024-10-31,Utilities,-168.51851749956145
2024-11-01,Rent,-113.54314749203041
2024-11-02,Rent,-87.88722985074608
2024-11-03,Deposit / Salary,1202.7522537966165
2024-11-04,Dining,-313.6769996680633
2024-11-05,Rent,-181.59057084753292
2024-11-06,Deposit / Salary,3667.914512389841
2024-11-07,Rent,-491.13534728533216
2024-11-08,Utilities,-89.31542957474488
2024-11-09,Utilities,-257.18599584539044
2024-11-10,Utilities,-372.8628043449477
2024-11-11,Rent,-407.1261038454916
2024-11-12,Subscription,-300.403955594119
2024-11-13,Utilities,-486.36048153685977
2024-11-14,Rent,-361.01649758196936
2024-11-15,Subscription,-85.24027886112074
2024-11-16,Dining,-83.25827158563558
2024-11-17,Deposit / Salary,4674.259026744128
2024-11-18,Dining,-333.823077638588
2024-11-19,Dining,-196.15117067956552
2024-11-20,Rent,-203.82735294100976
2024-11-21,Deposit / Salary,4490.3422352019215
2024-11-22,Dining,-81.00507375295862
2024-11-23,Utilities,-187.7526947096095
2024-11-24,Dining,-475.70260540723115
2024-11-25,Deposit / Salary,2681.5438785574524
2024-11-26,Grocery,-109.51536624886444
2024-11-27,Deposit / Salary,1072.6061520594876
2024-11-28,Deposit / Salary,3592.863605772694
2024-11-29,Subscription,-51.04263139753099
2024-11-30,Rent,-159.64233925025985
2024-12-01,Grocery,-415.76016951137893
2024-12-02,Rent,-291.04031971426303
2024-12-03,Utilities,-225.48210250497004
2024-12-04,Dining,-214.42499321096767
2024-12-05,Utilities,-485.85374032795966
2024-12-06,Utilities,-309.14863711276803
2024-12-07,Subscription,-418.19556071314844
2024-12-08,Utilities,-123.99890128712084
2024-12-09,Dining,-217.5368445042386
2024-12-10,Utilities,-191.08410852739
2024-12-11,Deposit / Salary,4149.713873224266
2024-12-12,Grocery,-269.7577939221969
2024-12-13,Grocery,-137.89912550948867
2024-12-14,Dining,-53.012098630789836
2024-12-15,Grocery,-290.6904595845266
2024-12-16,Grocery,-64.27015260407379
2024-12-17,Grocery,-131.47076235597558
2024-12-18,Rent,-442.33595226612334
2024-12-19,Dining,-416.75149304579867
2024-12-20,Rent,-67.48646790384807
2024-12-21,Utilities,-141.9248212593531
2024-12-22,Grocery,-213.8048513886671
2024-12-23,Subscription,-331.10215040011445
2024-12-24,Subscription,-417.7597694692095
2024-12-25,Deposit / Salary,1339.761458899845
2024-12-26,Rent,-416.4552358802184
2024-12-27,Utilities,-319.81617936693743
2024-12-28,Rent,-240.44832178544905
2024-12-29,Grocery,-233.5098373925915
2024-12-30,Utilities,-142.60290372805383
2024-12-31,Dining,-66.0730704698387
2025-01-01,Dining,-449.2635573920192
