Date,Description,Amount
2024-10-04,Subscription,-446.2963862895604
2024-10-05,Utilities,-244.94182004215295
2024-10-06,Grocery,-184.85085811934906
2024-10-07,Deposit / Salary,3648.868008934221
2024-10-08,Subscription,-435.90730536581066
2024-10-09,Utilities,-461.9445667989925
2024-10-10,Utilities,-409.18427053155995
2024-10-11,Dining,-287.99415708321624
2024-10-12,Dining,-91.91644982387072
2024-10-13,Utilities,-169.55870897522482
2024-10-14,Utilities,-417.16904450405843
2024-10-15,Utilities,-275.21640048459324
2024-10-16,Utilities,-342.80672764055976
2024-10-17,Deposit / Salary,2900.4933906615497
2024-10-18,Subscription,-458.4428540507003
2024-10-19,Subscription,-229.97620316056341
2024-10-20,Rent,-275.9516931877407
2024-10-21,Grocery,-431.6804081538769
2024-10-22,Rent,-334.49780343280423
2024-10-23,Deposit / Salary,4962.281028448309
2024-10-24,Deposit / Salary,4700.310992656461
2024-10-25,Deposit / Salary,2503.4422671863963
2024-10-26,Subscription,-95.75109014557087
2024-10-27,Rent,-458.8503457316942
2024-10-28,Dining,-474.7186796773547
2024-10-29,Rent,-274.41298216301857
2024-10-30,Dining,-440.1149716842241
2024-10-31,Subscription,-358.91669333028744
2024-11-01,Utilities,-469.7726224548575
2024-11-02,Utilities,-70.83568709066192
2024-11-03,Rent,-69.3215186219607
2024-11-04,Grocery,-188.8655213771339
2024-11-05,Subscription,-392.0611470157644
2024-11-06,Subscription,-120.78027628800834
2024-11-07,Subscription,-304.2560852306524
2024-11-08,Subscription,-483.5345767538055
2024-11-09,Grocery,-158.27394865680384
2024-11-10,Grocery,-375.40079011615387
2024-11-11,Utilities,-245.14723312174112
2024-11-12,Subscription,-194.1773573789906
2024-11-13,Deposit / Salary,1272.9303295701854
2024-11-14,Subscription,-152.4104961636578
2024-11-15,Rent,-226.28099917548488
2024-11-16,Subscription,-169.2812939950092
2024-11-17,Dining,-259.37635246104605
2024-11-18,Subscription,-419.1704249464856
2024-11-19,Grocery,-292.02221008293213
2024-11-20,Deposit / Salary,1365.1021594397093
2024-11-21,Deposit / Salary,3277.35296678394
2024-11-22,Deposit / Salary,2082.555460334886
2024-11-23,Dining,-163.21719967039792
2024-11-24,Utilities,-200.1525320613303
2024-11-25,Rent,-287.10869005607606
2024-11-26,Rent,-209.33579041174073
2024-11-27,Dining,-247.30868589503
2024-11-28,Utilities,-206.26684427988064
2024-11-29,Subscription,-227.22529947426494
2024-11-30,Rent,-106.57681214598395
2024-12-01,Grocery,-151.15418244404447
2024-12-02,Utilities,-362.895554986966
2024-12-03,Deposit / Salary,3712.393163732068
2024-12-04,Deposit / Salary,4666.0403204687955
2024-12-05,Deposit / Salary,1236.324347510405
2024-12-06,Deposit / Salary,4275.687256731238
2024-12-07,Utilities,-208.99714456520405
2024-12-08,Rent,-480.3055534848114
2024-12-09,Dining,-432.01524199611094
2024-12-10,Rent,-448.0160798045961
2024-12-11,Subscription,-477.88282968177253
2024-12-12,Deposit / Salary,4627.357713071326
2024-12-13,Subscription,-463.5060113854007
2024-12-14,Rent,-178.0526873370416
2024-12-15,Rent,-260.3855078565061
2024-12-16,Subscription,-341.09273595594465
2024-12-17,Utilities,-155.58864769900956
2024-12-18,Deposit / Salary,2531.5537956691296
2024-12-19,Deposit / Salary,2432.8971495312926
2024-12-20,Grocery,-137.10895740024824
2024-12-21,Deposit / Salary,4117.119686909261
2024-12-22,Grocery,-65.7861112033923
2024-12-23,Rent,-330.6580685052168
2024-12-24,Rent,-81.86180823258525
2024-12-25,Dining,-112.16512012292912
2024-12-26,Utilities,-436.89417631263547
2024-12-27,Rent,-325.58394762377105
2024-12-28,Utilities,-410.6365923027953
2024-12-29,Utilities,-191.6144659071442
2024-12-30,Deposit / Salary,1478.9547294326524
2024-12-31,Utilities,-288.85866029278185
2025-01-01,Dining,-414.5961592516523
