Date,Description,Amount
2024-10-04,Rent,-123.56578333459962
2024-10-05,Deposit / Salary,4500.354077130101
2024-10-06,Rent,-494.6964617289848
2024-10-07,Dining,-88.52811308435244
2024-10-08,Rent,-400.6972989152426
2024-10-09,Deposit / Salary,2072.7992145340795
2024-10-10,Subscription,-441.58859272684754
2024-10-11,Grocery,-143.8501702429088
2024-10-12,Rent,-243.03854795523424
2024-10-13,Dining,-163.58558200050567
2024-10-14,Deposit / Salary,3863.14200938855
2024-10-15,Rent,-459.795278373782
2024-10-16,Subscription,-89.48852258343973
2024-10-17,Grocery,-458.52074981498504
2024-10-18,Dining,-192.80067156191498
2024-10-19,Rent,-403.46483893427336
2024-10-20,Grocery,-360.8188596506768
2024-10-21,Rent,-436.6340737139865
2024-10-22,Utilities,-132.19888050407383
2024-10-23,Rent,-193.47024425299352
2024-10-24,Rent,-269.8801676319058
2024-10-25,Deposit / Salary,4388.756205087966
2024-10-26,Rent,-453.2976419092421
2024-10-27,Grocery,-439.4907226984311
2024-10-28,Grocery,-316.1387078724765
2024-10-29,Deposit / Salary,1572.063883850983
2024-10-30,Dining,-378.50821588445103
2024-10-31,Rent,-280.42636684638126
2024-11-01,Grocery,-321.09121933840026
2024-11-02,Utilities,-403.05133818039917
2024-11-03,Utilities,-167.55215672508348
2024-11-04,Utilities,-418.88721627416265
2024-11-05,Rent,-70.90048353236827
2024-11-06,Deposit / Salary,2896.4909128002882
2024-11-07,Dining,-254.45421408047304
2024-11-08,Grocery,-407.3053006831693
2024-11-09,Deposit / Salary,1099.3300292212646
2024-11-10,Utilities,-87.3445877149495
2024-11-11,Deposit / Salary,4470.59281361637
2024-11-12,Rent,-115.71960527936126
2024-11-13,Utilities,-318.1164915535772
2024-11-14,Grocery,-162.11172281620014
2024-11-15,Dining,-435.3337229627716
2024-11-16,Grocery,-385.68987094324126
2024-11-17,Rent,-258.3886310848483
2024-11-18,Dining,-157.91724572566707
2024-11-19,Rent,-293.0723179268916
2024-11-20,Rent,-89.68691984181262
2024-11-21,Grocery,-219.55333914011155
2024-11-22,Utilities,-244.23470342100762
2024-11-23,Rent,-129.89175135975256
2024-11-24,Subscription,-59.729532094012285
2024-11-25,Rent,-101.88627009410192
2024-11-26,Rent,-450.17068722082416
2024-11-27,Utilities,-53.70496206830081
2024-11-28,Dining,-384.2807292298784
2024-11-29,Grocery,-133.6042414159719
2024-11-30,Dining,-81.06788998270576
2024-12-01,Subscription,-412.4068215418844
2024-12-02,Dining,-340.13335436471993
2024-12-03,Grocery,-465.22905091433944
2024-12-04,Rent,-84.36761467366439
2024-12-05,Grocery,-200.33948161313825
2024-12-06,Utilities,-303.9891093143368
2024-12-07,Dining,-103.57352899691197
2024-12-08,Dining,-119.29799567007873
2024-12-09,Grocery,-278.42926030905915
2024-12-10,Dining,-434.7074074256838
2024-12-11,Dining,-194.59509235183884
2024-12-12,Deposit / Salary,4948.190433128489
2024-12-13,Rent,-328.9751795351989
2024-12-14,Subscription,-416.09046100858535
2024-12-15,Utilities,-351.5487887866326
2024-12-16,Utilities,-289.5680461609336
2024-12-17,Subscription,-480.5337946740365
2024-12-18,Grocery,-229.07450476978912
2024-12-19,Subscription,-132.91106762224342
2024-12-20,Grocery,-160.29273372409816
2024-12-21,Deposit / Salary,2875.5789786621026
2024-12-22,Subscription,-251.01957160395443
2024-12-23,Grocery,-180.10019754890902
2024-12-24,Grocery,-261.96949372952207
2024-12-25,Grocery,-141.46343621058116
2024-12-26,Rent,-357.04786491326945
2024-12-27,Rent,-288.61370007977064
2024-12-28,Utilities,-476.34557909785644
2024-12-29,Rent,-258.25457408309194
2024-12-30,Deposit / Salary,1745.031306416634
2024-12-31,Grocery,-300.2017992508094
2025-01-01,Dining,-220.03115646368585
