Date,Description,Amount
2024-10-04,Dining,-384.73241760250056
2024-10-05,Utilities,-472.03037332130697
2024-10-06,Deposit / Salary,4515.5372354094725
2024-10-07,Rent,-140.27343902961542
2024-10-08,Utilities,-263.54111086981675
2024-10-09,Grocery,-440.1548890446066
2024-10-10,Rent,-169.20468771788185
2024-10-11,Grocery,-354.1563630526565
2024-10-12,Subscription,-90.80013924242215
2024-10-13,Subscription,-211.21106458288665
2024-10-14,Grocery,-150.97002007467586
2024-10-15,Dining,-268.03174122099074
2024-10-16,Subscription,-415.6050664233523
2024-10-17,Deposit / Salary,1221.6736787474103
2024-10-18,Subscription,-102.8332800719268
2024-10-19,Grocery,-175.734317896184
2024-10-20,Grocery,-196.42318830972698
2024-10-21,Utilities,-341.40167933352876
2024-10-22,Deposit / Salary,1306.2801784300264
2024-10-23,Subscription,-54.007883979148204
2024-10-24,Grocery,-350.06263255747956
2024-10-25,Utilities,-323.86895444217345
2024-10-26,Dining,-230.35754391131243
2024-10-27,Grocery,-102.30748436884963
2024-10-28,Deposit / Salary,3646.85187580671
2024-10-29,Subscription,-327.7560434146012
2024-10-30,Grocery,-237.77006498283518
2024-10-31,Rent,-225.2205671882966
2024-11-01,Utilities,-403.410463610442
2024-11-02,Utilities,-363.0632238463854
2024-11-03,Rent,-119.02884607779511
2024-11-04,Deposit / Salary,2018.8503354351974
2024-11-05,Subscription,-304.0000853516145
2024-11-06,Grocery,-477.04771709849314
2024-11-07,Utilities,-242.15925665948004
2024-11-08,Deposit / Salary,2767.9675655057313
2024-11-09,Rent,-209.5182083009288
2024-11-10,Deposit / Salary,3269.2709133947933
2024-11-11,Dining,-407.91777422147754
2024-11-12,Dining,-310.6200634466934
2024-11-13,Subscription,-205.2942702474472
2024-11-14,Dining,-458.3670069636825
2024-11-15,Rent,-282.2017880649936
2024-11-16,Deposit / Salary,3404.9974104678536
2024-11-17,Grocery,-211.4068664231912
2024-11-18,Utilities,-201.83589027329387
2024-11-19,Grocery,-300.6532361007711
2024-11-20,Dining,-258.38925959466974
2024-11-21,Dining,-329.3600072561499
2024-11-22,Utilities,-473.93552382992465
2024-11-23,Dining,-497.92372375475577
2024-11-24,Rent,-100.76601510657953
2024-11-25,Rent,-117.27959516506014
2024-11-26,Grocery,-266.87903314680267
2024-11-27,Deposit / Salary,1503.3389257896274
2024-11-28,Subscription,-102.28221923038504
2024-11-29,Rent,-144.3350145916453
2024-11-30,Subscription,-495.9044330536484
2024-12-01,Grocery,-94.9545061225546
2024-12-02,Subscription,-64.75137308703432
2024-12-03,Dining,-277.5239826599652
2024-12-04,Deposit / Salary,4070.4050590799407
2024-12-05,Subscription,-495.96504613744577
2024-12-06,Deposit / Salary,4724.376704565185
2024-12-07,Deposit / Salary,1543.9815638134878
2024-12-08,Deposit / Salary,1881.3091820212398
2024-12-09,Deposit / Salary,3042.8028525816926
2024-12-10,Subscription,-80.29561222554614
2024-12-11,Subscription,-226.1732596513349
2024-12-12,Deposit / Salary,2639.6647546895133
2024-12-13,Deposit / Salary,2072.275781578086
2024-12-14,Grocery,-108.57025109213785
2024-12-15,Utilities,-335.89009945354934
2024-12-16,Dining,-446.1619822684005
2024-12-17,Dining,-279.3172189515684
2024-12-18,Grocery,-67.04632417047853
2024-12-19,Dining,-248.8540480566449
2024-12-20,Rent,-132.38850543636732
2024-12-21,Subscription,-125.82241198828606
2024-12-22,Dining,-197.10615342909048
2024-12-23,Rent,-85.38819088213421
2024-12-24,Deposit / Salary,3205.029421245412
2024-12-25,Grocery,-379.5543417569705
2024-12-26,Grocery,-352.3051716652048
2024-12-27,Grocery,-318.52027216307977
2024-12-28,Subscription,-367.82530300647056
2024-12-29,Rent,-51.46372434478824
2024-12-30,Subscription,-319.33412110479196
2024-12-31,Deposit / Salary,4064.084867686667
2025-01-01,Subscription,-299.0114236636548
